name;type;x;y;z;diameter;color;objectType;description;resources;poeticDescription;gravityRange;containedObjects
Navia (Kepler-444b);Planeta;0.50;0.50;0.50;120;0xFF0000;planet;Pierwsza planeta układu. Budowa skalista, typu ziemskiego, o średnicy ok. 120 km z atmosferą tlenową nadającą się do oddychania i umiarkowanym klimatem. Grawitacja ok. 1 G. Wegetacja roślinna zbliżona do ziemskiej, różniąca się znacznie na poziomie DNA przez co niezdatna do bezpośredniego wykorzystania jako pożywienie.;krzem, magnez, żelazo, lód, nikiel, złoto, srebro, kobalt;Jak szmaragdowy klejnot osadzony w kosmicznej czerni, Navia kusi zielonymi łąkami i błękitnymi oceanami. Jej powierzchnia tchnie życiem - lasy szumią w rytm nieznanych melodii, a przejrzyste jeziora odbijają światło dwóch słońc. To raj dla kolonistów, choć jej owoce kryją gorzką prawdę o genetycznej nieprzystosowanej naturze.;42;
Elyra (Kepler-444b-1);Księżyc;16384.50;136384.50;-113615.50;19;0x00FF00;moon;Naturalny satelita Navia o średnicy ok. 19 km. Brak atmosfery. Grawitacja ok. 0.25 G.;nikiel, żelazo, krzem, lód, magnez, platyna, złoto, srebro, kobalt;Srebrny kamień wisi w próżni, milczący strażnik swojej planety-matki. Elyra to świat ciszy absolutnej, gdzie tylko gwiazdy świadczą o upływie czasu.;3;
Ravok (Kepler-444c);Planeta;1031072.50;131072.50;1631072.50;120;0x0000FF;planet;Skalista pustynna planeta o średnicy ok. 120 km z śladową mroźną atmosferą pozbawioną tlenu. Grawitacja ok. 0.9 G. Brak śladów życia.;lód, krzem, magnez, żelazo, nikiel, złoto, srebro, kobalt;Ravok to martwy król pustyni, okryty płaszczem z czerwonego piasku i kamienia. Wiatry mroźne hulają po jego powierzchni, rzeźbiąc kaniony i formacje.;;
Europa (Kepler-444c-1);Księżyc;916384.50;16384.50;1616384.50;19;0xFFFF00;moon;Niewielki (ok. 19 km średnicy), pokryty lodem, księżyc orbitujący Ravok posiadający gęstą ale beztlenową atmosferę. Grawitacja ok. 0.25 G.;nikiel, żelazo, krzem, lód, magnez, platyna, złoto, srebro, kobalt;Europa drży w kosmicznym chłodzie, okryta pancerzem z tysięcy lat lodu. Jej powierzchnia to mozaika pęknięć i szczelin.;;
Triton (Kepler-444d);Planeta;-284463.50;-2434463.50;365536.50;80;0xFF00FF;planet;Skalista planeta o średnicy ok. 80 km pokryta skorupą lodową. Mroźna atmosfera tlenowa, na niskich wysokościach stężenie tlenu wystarczające do oddychania. Grawitacja ok. 1 G.;lód, krzem, żelazo, nikiel, magnez, złoto, srebro, kobalt;Triton to lodowy grobowiec, gdzie oddech zamiera w kryształach. Jej atmosfera szumi pieśnią wiecznej zimy.;;
Pertam (Kepler-444e);Planeta;-3967231.50;-32231.50;-767231.50;60;0x00FFFF;planet;Niewielka skalista planeta o średnicy 60 km i zróżnicowanej powierzchni w większości pustynna z niewielkimi oazami miejscowej flory. Atmosfera tlenowa, na niskich wysokościach nadająca się do oddychania. Grawitacja 1.2 G.;krzem, magnez, żelazo, lód, nikiel, złoto, srebro, kobalt, uran;Pertam to planeta kontrastów - surowe pustynie przeplatają się z ukrytymi oazami życia. Każdy krok na jej powierzchni to wybór między nadziej. wysoki poziom radiacji, niebezpieczne burze piaskowe i lokalne anomalie magnetyczne. System operuje pod ciągłym nadzorem ze względu na obecność złóż uranu i wzrastające napięcie tektoniczne.;19;
Torvion (Kepler-444e-1);Księżyc;-3782060.22;-89935.37;-816068.66;24;0xFF8000;moon;Znajdujący się w obrębie pola asteroidów niewielki księżyc o średnicy ok. 24 km. Stosunkowo silne pole grawitacyjne z 0.7 G przy powierzchni.;uran, platyna, żelazo, lód, nikiel, krzem, kobalt, srebro, magnez, złoto;Torvion tańczy w chaosie kamiennych fragmentów, tajemniczy strażnik pośród kosmicznego chaosu.;25;
Phrygia (Kepler-444e-2);Księżyc;-4038974.33;-19351.26;-775939.01;19;0x8000FF;moon;Duży obiekt o średnicy ok. 19 km w obrębie pola asteroidów zaklasyfikowany jako księżyc Pertam. Brak szczegółowych danych.;Nieznane - brak szczegółowych badań;Phrygia to enigma zawinięta w cień i milczenie. Dryfuje przez pole asteroidów jak duch przeszłości.;;
Vorath (Kepler-444f);Planeta;131072.50;131072.50;5731072.50;120;0x80FF00;planet;Najdalsza odkryta planeta układu. Misje badawcze ISF planowane były na rok 2096. Szczegółowe warunki panujące na powierzchni nie zostały jeszcze zbadane.;krzem, magnez, żelazo, lód, nikiel, złoto, srebro, kobalt;Vorath czeka na krawędzi znanego świata, okryta tajemnicą i obietnicą odkryć. To ostatni bastion przed nieskończonością.;;
Titan (Kepler-444f-1);Księżyc;36384.50;226384.50;5796384.50;19;0xFF0080;moon;Naturalny satelita Vorath o średnicy ok. 19 km. Brak szczegółowych danych.;Nieznane - brak szczegółowych badań;Titan to samotny towarzysz odległej planety, wieczny stażysta na granicy znanego świata.;;
